,abstract,title,ground truth venue,predicted_venue_1,predicted_venue_2,predicted_venue_3,predicted_venue_4,predicted_venue_5,predicted_venue_6,predicted_venue_7,predicted_venue_8,predicted_venue_9,predicted_venue_10,predicted_venue_11,predicted_venue_12,predicted_venue_13,predicted_venue_14,predicted_venue_15
28," efficient and reliable subcarrier power allocation in orthogonal frequency-division multiplexing ( ofdm ) -based cognitive radio networks is a challenging traditional waterfilling approach is inefficient for such networks due to the strict requirements on the interference generated to the primary in this paper , we present a solution to an energy-efficient resource allocation problem which maximizes the cognitive radio ( we consider an energy-aware capacity expression by taking into account another factor called subcarrier availability . optimizing such an expression saves valuable resources such as battery life by selectively allocating power to underutilized subcarriers . based on a unk model , we formulate a convex optimization problem which incorporates a linear average rate loss function due to the complex structure of the optimal solution , we propose three suboptimal schemes , namely , the unk we compare the performances of optimal and suboptimal algorithms with the performance of a classical waterfilling scheme . ", energy-efficient power allocation in ofdm-based cognitive radio systems : a unk model ,IEEE Transactions on Wireless Communications,IEEE Transactions on Signal Processing,IEEE Transactions on Wireless Communications,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Mobile Computing,Wireless Personal Communications: An International Journal,EURASIP Journal on Applied Signal Processing,IEEE Transactions on Communications,Wireless Networks,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,Mobile Networks and Applications,IEEE Transactions on Information Theory,IEEE/ACM Transactions on Networking (TON),Wireless Communications & Mobile Computing,WCNC'09 Proceedings of the 2009 IEEE conference on Wireless Communications & Networking Conference
29," this paper studies a theoretical problem of whether continuous state feedback and affine feedback are equivalent from the point of we show that the two classes of feedbacks are equivalent . as a byproduct , new necessary and sufficient conditions for solvability based more directly on the problem data are obtained ", reach control on simplices by continuous state feedback ,ACC'09 Proceedings of the 2009 conference on American Control Conference,SIAM Journal on Control and Optimization,Automatica (Journal of IFAC),Automation and Remote Control,Journal of Global Optimization,Mathematical and Computer Modelling: An International Journal,Mathematics of Operations Research,Computers & Mathematics with Applications,SIAM Journal on Matrix Analysis and Applications,ACC'09 Proceedings of the 2009 conference on American Control Conference,Applied Mathematics and Computation,Cybernetics and Systems Analysis,Journal of Computational and Applied Mathematics,SIAM Journal on Optimization,Operations Research Letters,IEEE Transactions on Information Theory
30," this paper explores focus groups supported by group support systems ( gss ) with anonymous interaction capability in two configurations after reviewing the literature , we compare and contrast these unk unk focus groups with traditional focus groups and discuss we suggest directions for future research concerning unk focus groups with respect to technological implications ( typing skills and connection deception and design : the impact of communication technology on lying behavior . proceedings of the 2004 conference on human factors in computing systems ( pp . unk ) , whereby lying is a function of three design factors : synchronicity , unk , and unk ) ", the use of group support systems in focus groups : information technology meets qualitative research ,Computers in Human Behavior,ACM SIGMIS Database,Science of Computer Programming,MIS Quarterly,Information Systems Frontiers,Data & Knowledge Engineering,Electronic Notes in Theoretical Computer Science (ENTCS),Software—Practice & Experience,IEEE Transactions on Software Engineering,ACM SIGSOFT Software Engineering Notes,Information Systems,Organization Science,Journal of Systems and Software,Information and Software Technology,ACM SIGMOD Record,Journal of Management Information Systems
31," we consider the single server markovian queue and we assume that arriving customers decide whether to enter the system or before making his decision , a customer may or may not know the compartment in which he will enter and/or thus , denoting by n the number of customers found by an arriving customer , he may or may not we also study the corresponding social and profit maximization problems . ", optimal balking strategies and pricing for the single server markovian queue with unk waiting space ,Queueing Systems: Theory and Applications,Queueing Systems: Theory and Applications,Operations Research Letters,Operations Research,Management Science,Computers and Operations Research,Performance Evaluation,Mathematics of Operations Research,Mathematical and Computer Modelling: An International Journal,Computers and Industrial Engineering,ACM SIGMETRICS Performance Evaluation Review,Information Processing Letters,Discrete Applied Mathematics,Journal of Computational and Applied Mathematics,Theoretical Computer Science,Computers & Mathematics with Applications
32," according to the 16 august 2005 wall street journal , federal unk are increasingly forcing universities to pay back unk interestingly , the paper cites a study by unk research foundation and the university of minnesota that found more than apparently , to get a research grant , you already have to have done the work . ", unk research is unk ,Computing in Science and Engineering,ICETCE '12 Proceedings of the 2012 Second International Conference on Electric Technology and Civil Engineering,CDCIEM '11 Proceedings of the 2011 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,Microelectronic Engineering,Journal of Nanomaterials,Interfaces,Microelectronics Journal,Scientometrics,ICECE '10 Proceedings of the 2010 International Conference on Electrical and Control Engineering,International Journal of Computer Applications in Technology,IEEE Spectrum,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,ICEE '10 Proceedings of the 2010 International Conference on E-Business and E-Government,MACE '12 Proceedings of the 2012 Third International Conference on Mechanic Automation and Control Engineering,Mathematics and Computers in Simulation,ACM SIGCOMM Computer Communication Review
33," femtocells are low-cost , low-power cellular base stations that are deployed by the end user to supplement unk coverage and in femtocell deployments , leakage of the pilot signal to the outside of a house can result in a highly in this paper , a low cost multi-element antenna solution is proposed to reduce the core network mobility signalling over antenna gain pattern measurements of a prototype with two patches and two inverted f antennas are presented and a corresponding self-optimization methods are proposed that jointly select an appropriate antenna pattern and optimize the pilot power . this allows to better match the femtocell coverage to the shape of each individual house and results in an improvement ", femtocell coverage optimization using switched multi-element antennas ,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,Wireless Personal Communications: An International Journal,WCNC'09 Proceedings of the 2009 IEEE conference on Wireless Communications & Networking Conference,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,IEEE Transactions on Wireless Communications,Computer Networks: The International Journal of Computer and Telecommunications Networking,Wireless Networks,Computer Communications,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,IEEE Transactions on Consumer Electronics,MILCOM'06 Proceedings of the 2006 IEEE conference on Military communications,"WiCOM'09 Proceedings of the 5th International Conference on Wireless communications, networking and mobile computing",Mobile Networks and Applications,Computers and Electrical Engineering,Ad Hoc Networks,IEEE Transactions on Mobile Computing
34," in this paper , we investigate a binary decentralized detection problem in which a network of wireless sensors provides relevant each sensor transmits its data over a multiple access channel . upon reception of the information , the fusion center attempts to accurately reconstruct the state of nature . we consider the scenario where the sensor network is constrained by the capacity of the wireless channel over which the for the problem of detecting deterministic signals in additive gaussian noise , we show that having a set of identical thus , the gain offered by having more sensors exceeds the benefits of getting detailed information from each sensor . a thorough analysis of the gaussian case is presented along with some extensions to other observation distributions . ", decentralized detection in sensor networks ,IEEE Transactions on Signal Processing,IEEE Transactions on Signal Processing,IEEE Transactions on Information Theory,IEEE Transactions on Wireless Communications,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,IEEE Journal on Selected Areas in Communications,Automatica (Journal of IFAC),IEEE/ACM Transactions on Networking (TON),GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,Wireless Networks,IEEE Transactions on Communications,IEEE Transactions on Mobile Computing,"ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing",Mobile Networks and Applications,ACC'09 Proceedings of the 2009 conference on American Control Conference,Ad Hoc Networks
35," term weighting is a strategy that assigns weights to terms to improve the performance of sentiment analysis and other text in this paper , we propose a supervised term weighting scheme based on two basic factors : importance of a for itd , we explore three definitions based on term frequency . then , seven statistical functions are employed to learn the its of each term from training documents with category labels compared with the previous unsupervised term weighting schemes originated from information retrieval , our scheme can make full use of we have experimentally evaluated the proposed method against the state-of-the-art method . the experimental results show that our method outperforms the method and produce the best accuracy on two of three data ", a study of supervised term weighting scheme for sentiment analysis ,Expert Systems with Applications: An International Journal,Expert Systems with Applications: An International Journal,Knowledge-Based Systems,Information Processing and Management: an International Journal,Neurocomputing,Pattern Recognition,Pattern Recognition Letters,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,Knowledge and Information Systems,Information Sciences: an International Journal,"ICICIC '07 Proceedings of the Second International Conference on Innovative Computing, Informatio and Control",International Journal of Computer Applications in Technology,IITA'09 Proceedings of the 3rd international conference on Intelligent information technology application,Journal of Computer Science and Technology,Applied Soft Computing,IEEE Transactions on Knowledge and Data Engineering
36," two new algorithms are presented to select the number and subset of active transmit antennas among the users in a the algorithms are based on the outage probability of a multiuser spatial multiplexing system using independent decoding with linear and a key advantage of these algorithms is the avoidance of tracking the fading channel by using channel covariance matrices rather the first algorithm selects the active transmit antennas to minimize the total transmit power among the users given the outage the second algorithm selects the active transmit antennas to maximize the sum rate of the multiple access channel given the in comparison to a system using all available transmit antennas , both selection algorithms provide significant performance gains in correlated in addition , the algorithms exhibit gains for linear receivers in independent fading ", transmit antenna selection based on outage probability for correlated mimo multiple access channels ,IEEE Transactions on Wireless Communications,IEEE Transactions on Wireless Communications,IEEE Transactions on Signal Processing,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Information Theory,Wireless Personal Communications: An International Journal,IEEE Transactions on Communications,EURASIP Journal on Applied Signal Processing,IEEE Transactions on Consumer Electronics,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,WCNC'09 Proceedings of the 2009 IEEE conference on Wireless Communications & Networking Conference,"IEEE Transactions on Audio, Speech, and Language Processing",MILCOM'06 Proceedings of the 2006 IEEE conference on Military communications,Signal Processing,Digital Signal Processing
37," the minimum size of a binary code with length n and covering radius r is denoted by k ( n for arbitrary r , the value of k ( n , r ) is known when n 驴 2r + by combining combinatorial and computational methods , several results for the first open case , k ( 2r + 4 ", on the minimum size of binary codes with length 2r + 4 and covering radius r ,"Designs, Codes and Cryptography",IEEE Transactions on Information Theory,"Designs, Codes and Cryptography","IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Discrete Applied Mathematics,Fundamenta Informaticae,Information Processing Letters,Discrete Mathematics,SIAM Journal on Discrete Mathematics,Theoretical Computer Science,Information Sciences: an International Journal,International Journal of Computer Mathematics,Finite Fields and Their Applications,Journal of Combinatorial Theory Series A,European Journal of Combinatorics,Applied Mathematics and Computation
38," we consider an integer partition @ l unk 1= ... = @ l unk @ ? , @ ? unk does not exceed a given number k1 . for k=2 , unk unk had conjectured existence of a constant a such that the random function m unk unk unk x unk m unk unk unk n unk @ ? , x @ ? [ unk ] ( m unk unk ) , converges in probability to unk ( x ) unk , f we confirm a natural extension of unk 's conjecture for k1 , and show that the limit shape unk ( in particular , for k=2 , w is the golden ratio ( unk ) unk . ", limit shape of a random integer partition with a bounded unk ratio of parts sizes ,Journal of Combinatorial Theory Series A,Advances in Applied Mathematics,Journal of Combinatorial Theory Series A,Journal of Approximation Theory,Journal of Multivariate Analysis,Discrete Applied Mathematics,European Journal of Combinatorics,Mathematical and Computer Modelling: An International Journal,Theoretical Computer Science,Finite Fields and Their Applications,Computers & Mathematics with Applications,Journal of Computational and Applied Mathematics,Journal of Combinatorial Theory Series B,Discrete Mathematics,Operations Research Letters,"Combinatorics, Probability and Computing"
39," since the release of department of defense ( dod ) directive unk , unk of computer resources in major defense a review of the current status of configuration management within the dod computer resources management environment is provided , and ", status and outlook for dod configuration management requirements ,Journal of Systems and Software,ACM SIGSOFT Software Engineering Notes,IEEE Transactions on Software Engineering,Journal of Systems and Software,IEEE Software,ACM SIGCHI Bulletin,ACM SIGMETRICS Performance Evaluation Review,IBM Systems Journal,ACM SIGPLAN Notices,Computer Standards & Interfaces,Electronic Notes in Theoretical Computer Science (ENTCS),Communications of the ACM,Computer,Information and Software Technology,ACM SIGCSE Bulletin,Journal of Computing Sciences in Colleges
40, first page of the article , publisher 's message ,IEEE Communications Magazine,IEEE Communications Magazine,Computer,IEEE Spectrum,IEEE Network: The Magazine of Global Internetworking,IEEE Micro,IEEE MultiMedia,IEEE Transactions on Signal Processing,IEEE Wireless Communications,IEEE Journal on Selected Areas in Communications,IEEE Software,IEEE Computer Graphics and Applications,IEEE Transactions on Information Theory,IEEE Design & Test,IEEE Transactions on Computers,IEEE Transactions on Education
41," the identification of the hydraulic characteristics and transport properties of fractured reservoirs requires the development of specific models that account the presence of major conductive fractures that delimit capacitive matrix blocks , with weakly open , dead end or isolated well tests in fractured media ( unk ) software takes into account these two main features by combining radial flow the implementation of this nd model , with n fractional , extends usefully the domain of application of the usual although the fractures geometry and properties are not considered one by one , or by directional families , they are the accuracy of the coupled transient behaviours analysis is augmented by taking into account wellbore storage and skin effects . all together , the use of these different options allows matching a wide range of pumping test curves , characteristics distinctive well test experiments , in both sedimentary and crystalline rocks , are presented for unk how the pertinent use "," unk , software for well test analysis in fractured media combining fractional flow with double porosity and unk approaches ",Computers & Geosciences,Computers & Geosciences,Environmental Modelling & Software,International Journal of Geographical Information Science,Computers and Electronics in Agriculture,International Journal of Remote Sensing,Computer Methods and Programs in Biomedicine,Advances in Engineering Software,Mathematical and Computer Modelling: An International Journal,Finite Elements in Analysis and Design,Expert Systems with Applications: An International Journal,Computers and Structures,Computational Statistics & Data Analysis,Simulation,Computers in Biology and Medicine,Computers and Industrial Engineering
42," the allpass transformation of higher order is a very general concept to construct a frequency warped analysis-synthesis filter bank ( in contrast to the more common allpass transformation of first order , the delay elements of the analysis filter bank known analytical closed-form designs for the synthesis filter bank can ensure perfect reconstruction ( pr ) , but the synthesis these problems are addressed by a new least-squares error ( lse ) filter bank design . the coefficients of the finite-impulse-response ( fir ) synthesis filters are determined simply by a linear set of equations where this approach can achieve a perfect signal reconstruction with synthesis filters which are inherently stable and feature a bandpass characteristic the proposed filter bank is of interest for various subband processing systems requiring nonuniform frequency bands . ", least-squares design of dft unk based on allpass transformation of higher order ,IEEE Transactions on Signal Processing,IEEE Transactions on Signal Processing,Signal Processing,Digital Signal Processing,EURASIP Journal on Applied Signal Processing,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences","ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing","IEEE Transactions on Audio, Speech, and Language Processing","ICASSP '91 Proceedings of the Acoustics, Speech, and Signal Processing, 1991. ICASSP-91., 1991 International Conference",Wireless Personal Communications: An International Journal,Journal of Signal Processing Systems,IEEE Transactions on Wireless Communications,Analog Integrated Circuits and Signal Processing,IEEE Transactions on Consumer Electronics,IEEE Transactions on Image Processing,IEEE Transactions on Very Large Scale Integration (VLSI) Systems
43," a general formula for the asymptotic largest minimum distance ( in block length ) of deterministic block codes under generalized as revealed in the formula , the largest minimum distance can be fully determined by the ultimate statistical characteristics of interestingly , the new formula has an analogous form to the general unk expressions of the channel capacity and the as a result , a minor class of distance functions for which the largest minimum distance can be derived is a general unk lower bound is next addressed . some discussions on the tightness of the general unk bound are also provided . finally , lower bounds on the largest minimum distances for several specific block coding schemes are unk in terms of ", unk formulas on the largest minimum distance of block codes ,IEEE Transactions on Information Theory,IEEE Transactions on Information Theory,"Designs, Codes and Cryptography",SIAM Journal on Discrete Mathematics,Finite Fields and Their Applications,IEEE Transactions on Signal Processing,IEEE Transactions on Communications,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Theoretical Computer Science,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Computers,IBM Journal of Research and Development,Information Sciences: an International Journal,Discrete Applied Mathematics,Journal of the ACM (JACM),IEEE Transactions on Image Processing
44," let p = p ( n ) be a function of n with unk , p ) ; that is unk and unk have shown that if p2 ( 1 − p2 ) & # unk ; 8 ( log then the ( orientable ) genus of a random graph in & # unk ; ( n , p ) we prove that for every integer i unk 1 , if unk ( i + 1 ) unk p unk then the genus of a random graph in & # unk ; ( n , p ) is ( 1 if p = unk ( unk ) unk , where c is a constant , then the genus of a © 1995 wiley unk , inc . ", on the genus of a random graph ,Random Structures & Algorithms,Random Structures & Algorithms,Journal of Graph Theory,Journal of the American Society for Information Science and Technology,Journal of the ACM (JACM),Software—Practice & Experience,"Combinatorics, Probability and Computing",Discrete Mathematics,Journal of Algebraic Combinatorics: An International Journal,Journal of Combinatorial Theory Series B,Bioinformatics,Journal of Combinatorial Theory Series A,European Journal of Combinatorics,International Journal of Computer Mathematics,Theoretical Computer Science,Advances in Applied Mathematics
45," in this paper , a soft computing approach is presented for modeling electrical power generating plants in order to characterize the structure of the soft computing method consists of fuzzy logic , neural networks and genetic algorithms . the measured data from a complete set of field experiments is the basis for training the models including the extraction the genetic algorithm is applied to the modeling approach in order to optimize the procedure of the training . comparison between the responses of the proposed models with the responses of the plants validates the accuracy and performance of a similar comparison between the responses of these models with the models obtained based on the thermodynamical and physical relations ", soft computing approach for modeling power plant with a unk boiler ,Engineering Applications of Artificial Intelligence,Expert Systems with Applications: An International Journal,Applied Soft Computing,Engineering Applications of Artificial Intelligence,Neurocomputing,IEEE Transactions on Neural Networks,Neural Computing and Applications,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",IEEE Transactions on Fuzzy Systems,Advances in Engineering Software,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews",Information Sciences: an International Journal,Neural Processing Letters,Computers and Industrial Engineering,Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans"
46," new information and communication technologies and emerging learning models have triggered a new wave of educational unk learning ( e-learning this study utilizes a hypercube innovation model to analyze the differences in technology and learning models ( instruction unk ) the results show that the innovation from traditional classroom learning to e-learning is radical for both the learner and instructor for educational institutions , the technology is a fundamental change , while the learning model is reinforced . from the dynamic capability perspectives , a set of core capabilities needed for successfully exploiting e-learning is identified . these results provide insight for learners , instructors and educational institutions for enhancing their understanding of e-learning innovation , and ", analysis of e-learning innovation and core capability using a hypercube model ,Computers in Human Behavior,Computers & Education,Expert Systems with Applications: An International Journal,IEEE Transactions on Education,Computers in Human Behavior,Journal of Computing Sciences in Colleges,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,ICEE '10 Proceedings of the 2010 International Conference on E-Business and E-Government,WSEAS Transactions on Computers,Knowledge-Based Systems,"ICICIC '07 Proceedings of the Second International Conference on Innovative Computing, Informatio and Control",International Journal of Computer Applications in Technology,IITA'09 Proceedings of the 3rd international conference on Intelligent information technology application,ICICIC '08 Proceedings of the 2008 3rd International Conference on Innovative Computing Information and Control,Applied Soft Computing
47," spectral reconstruction of short signals is a problem relevant to many areas of engineering and science . classical techniques , unk . fourier transform ( ft ) and the wavelet transform ( wt ) fail to provide accurate estimates of the low to cope with the problem this paper brings up the method of unk ( fd ) , developed in the a natural question occurs as to whether it is robust to noise unk the signal and thus applicable to signal in this paper the fd method is first unk from the point of view of linear state-space systems dynamics . it is shown that the original fd modifies to an essentially stochastic generalized eigenvalue problem with underlying matrices being normally the results of a monte carlo simulation study are summarized showing that the fd method displays monotonous behaviour with respect ", frequency analysis of noisy short-time stationary signals using unk ,Signal Processing,Signal Processing,Digital Signal Processing,IEEE Transactions on Signal Processing,Automatica (Journal of IFAC),Applied Mathematics and Computation,EURASIP Journal on Applied Signal Processing,Computers & Mathematics with Applications,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Mathematical and Computer Modelling: An International Journal,"ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing",Journal of Computational and Applied Mathematics,International Journal of Computer Mathematics,Information Sciences: an International Journal,Computer Methods and Programs in Biomedicine,Mathematics and Computers in Simulation
48," in this paper we present a detailed analysis of queueing models with vacations and impatient customers , where the source instead of the standard assumption that customers perform independent unk , we consider situations where customers abandon the system simultaneously this is , for example , the case in remote systems where customers may decide to abandon the system , ", synchronized reneging in queueing systems with vacations ,Queueing Systems: Theory and Applications,Operations Research Letters,Queueing Systems: Theory and Applications,Performance Evaluation,Operations Research,Computers and Operations Research,Mathematical and Computer Modelling: An International Journal,Management Science,ACM SIGMETRICS Performance Evaluation Review,Mathematics of Operations Research,Automatica (Journal of IFAC),IEEE Transactions on Software Engineering,Computers and Industrial Engineering,Journal of Computational and Applied Mathematics,Decision Support Systems,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans"
49," in this paper a general class of fast learning algorithms for feedforward neural networks is introduced and described . the approach exploits the separability of each layer into linear and nonlinear blocks and consists of two steps . the first step is the descent of the error functional in the space of the outputs of the linear blocks in the second step , each linear block is optimized separately by using a least squares ( ls ) criterion to demonstrate the effectiveness of the new approach , a detailed treatment of a gradient descent in the neuron space the main properties of this approach are the higher speed of convergence with respect to methods that employ an ordinary the numerical stability is assured by the use of robust ls linear system solvers , operating directly on the input experimental results obtained in three problems are described , which confirm the effectiveness of the new method ", a generalized learning paradigm exploiting the structure of feedforward neural networks ,IEEE Transactions on Neural Networks,IEEE Transactions on Neural Networks,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",IEEE Transactions on Signal Processing,IEEE Transactions on Fuzzy Systems,Neural Processing Letters,Neural Networks,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews",IEEE Transactions on Evolutionary Computation,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans",IEEE Transactions on Image Processing,Neural Computation,IEEE Transactions on Information Theory,IJCNN'09 Proceedings of the 2009 international joint conference on Neural Networks,Neurocomputing,Neural Computing and Applications
50," pb levels in blood , liver , lung , kidney , heart and brain of male mice were measured after the resultant data show that 98 % of lead exposed in blood is accumulated in red blood cells . for other target organs , the accumulation of lead is in an order of kidney , liver , unk , the accumulation of lead in brain gradually increases with lead exposure while the accumulation of lead in the other target ", distribution of lead in blood and organs of mice exposed to unk drinking water ,CDCIEM '11 Proceedings of the 2011 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,Computers in Biology and Medicine,ICETCE '12 Proceedings of the 2012 Second International Conference on Electric Technology and Civil Engineering,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,Journal of Medical Systems,"SMC'09 Proceedings of the 2009 IEEE international conference on Systems, Man and Cybernetics",ICCIS '13 Proceedings of the 2013 International Conference on Computational and Information Sciences,MACE '12 Proceedings of the 2012 Third International Conference on Mechanic Automation and Control Engineering,ICECE '10 Proceedings of the 2010 International Conference on Electrical and Control Engineering,"ICICIC '07 Proceedings of the Second International Conference on Innovative Computing, Informatio and Control","ICECC '12 Proceedings of the 2012 International Conference on Electronics, Communications and Control",IITA'09 Proceedings of the 3rd international conference on Intelligent information technology application,CDCIEM '11 Proceedings of the 2011 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,"SMC '13 Proceedings of the 2013 IEEE International Conference on Systems, Man, and Cybernetics",ICEE '10 Proceedings of the 2010 International Conference on E-Business and E-Government,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists
51," in any practical application of the unk conversion that involves storage and transmission , representation efficiency has an unk importance in order to address this problem , a novel algorithm , which yields efficient 3-d representations in the rate distortion the algorithm utilizes two views of a scene to build a mesh-based representation incrementally , via adding new vertices , the experimental results indicate that , in scenes that can be approximated by planes , the proposed algorithm is superior ", rate-distortion efficient piecewise planar 3-d scene representation from 2-d images ,IEEE Transactions on Image Processing,IEEE Transactions on Image Processing,IEEE Transactions on Circuits and Systems for Video Technology,IEEE Transactions on Multimedia,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Consumer Electronics,IEEE Transactions on Signal Processing,EURASIP Journal on Applied Signal Processing,IEEE Journal on Selected Areas in Communications,Journal of Visual Communication and Image Representation,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",ICIP'09 Proceedings of the 16th IEEE international conference on Image processing,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,Pattern Recognition,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews",IEEE Transactions on Visualization and Computer Graphics
52," a method of network filtering has been proposed recently to detect the effects of certain external perturbations on the interacting however , with large networks , the goal of detection seems a priori difficult to achieve , especially since the under the assumption that the network possesses a certain sparsity property , we provide a formal characterization of the accuracy we explore the implications of the technical conditions underlying our characterization , in the context of various network topologies , ", target detection via network filtering ,IEEE Transactions on Information Theory,IEEE Transactions on Information Theory,IEEE Transactions on Signal Processing,Automatica (Journal of IFAC),SIAM Journal on Control and Optimization,"ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing",IEEE Transactions on Wireless Communications,ACC'09 Proceedings of the 2009 conference on American Control Conference,IEEE Journal on Selected Areas in Communications,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,IEEE Transactions on Neural Networks,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,IEEE Transactions on Communications,EURASIP Journal on Applied Signal Processing,Signal Processing,The Journal of Machine Learning Research
53," the quantum circuit and design are presented for an optimized entangling probe attacking the bb84 protocol of quantum key distribution probe photon polarization states become optimally entangled with the signal states on their way between the legitimate transmitter and receiver although standard unk projective measurements of the probe yield maximum information on the unk amplified key , if instead the it follows that the bb84 ( unk -- unk 1984 ) protocol of quantum key distribution has a vulnerability similar ", unambiguous state discrimination in quantum key distribution ,Quantum Information Processing,Quantum Information Processing,Quantum Information & Computation,IEEE Transactions on Information Theory,IEEE Transactions on Nanotechnology,Microelectronics Journal,Analog Integrated Circuits and Signal Processing,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",IBM Journal of Research and Development,Microelectronic Engineering,IEEE Transactions on Communications,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"Proceedings of the Conference on Design, Automation and Test in Europe",EURASIP Journal on Applied Signal Processing,Journal of Signal Processing Systems,Electronic Notes in Theoretical Computer Science (ENTCS)
54," in this paper the application of machine learning techniques for on-line dynamic security assessment of power systems is presented . decision trees ( dt ) , artificial neural networks ( ann ) and entropy networks ( en ) are developed comparison of these methods reveals their relative advantages and disadvantages . these methods have been integrated in the dynamic security assessment module of the advanced control system of unk island , the results are considered very satisfactory , both in accuracy that increases the reliability of the method and in computational ", machine learning for frequency estimation of power systems ,Applied Soft Computing,Expert Systems with Applications: An International Journal,Engineering Applications of Artificial Intelligence,Applied Soft Computing,Neurocomputing,Neural Computing and Applications,International Journal of Computer Applications in Technology,Information Sciences: an International Journal,Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology,Automatica (Journal of IFAC),ACC'09 Proceedings of the 2009 conference on American Control Conference,Computers and Industrial Engineering,Mathematics and Computers in Simulation,International Journal of Systems Science,IJCNN'09 Proceedings of the 2009 international joint conference on Neural Networks,Journal of Intelligent and Robotic Systems
55," communication is considered to be one of the most essential components of collaboration , but our understanding as to which to help investigate effects of various communication channels on a collaborative project , we conducted a user study with 30 using both quantitative and qualitative data analysis , we found that teams with remotely located participants were more effective in adding audio support for remote collaboration helped participants to lower their cognitive load as well as negative emotions compared to we also show how these findings could help design more effective systems for collaborative information seeking tasks using adequate and we argue that collaboration is an important aspect of human-centered ir , and that our work provides interesting insights into "," let 's search together , but not too close unk an analysis of communication and performance in collaborative information seeking ",Information Processing and Management: an International Journal,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,International Journal of Human-Computer Studies,Computers in Human Behavior,Information Processing and Management: an International Journal,Journal of the American Society for Information Science and Technology,MIS Quarterly,HICSS '12 Proceedings of the 2012 45th Hawaii International Conference on System Sciences,Computers & Education,HICSS '13 Proceedings of the 2013 46th Hawaii International Conference on System Sciences,Information and Management,ACM SIGMIS Database,Journal of Management Information Systems,HICSS '14 Proceedings of the 2014 47th Hawaii International Conference on System Sciences,Decision Support Systems,HICSS '09 Proceedings of the 42nd Hawaii International Conference on System Sciences
